service_id,category,name,price,duration_minutes,rating
56,Makeup,Party Makeup,25.00,60,4.5
57,Makeup,Bridal Makeup,150.00,180,4.8
58,Makeup,Engagement Makeup,80.00,120,4.6
59,Eyebrow,Eyebrow Threading,0.50,15,4.2
60,Eyebrow,Upper Lip Threading,0.30,10,4.1
61,Haircut,Basic Haircut,3.00,30,4.3
62,Haircut,Layered Haircut,6.00,45,4.4
63,Haircut,Step Cut,5.00,45,4.2
64,Hair Services,Hair Spa,12.00,60,4.5
65,Hair Services,Keratin Treatment,40.00,120,4.7
66,Hair Services,Hair Coloring (Global),30.00,90,4.6
67,Skin Treatments,Clean Up,5.00,30,4.3
68,Skin Treatments,Fruit Facial,8.00,45,4.4
69,Skin Treatments,O3+ Facial,20.00,60,4.6
70,Skin Treatments,De-Tan Pack,4.00,20,4.2
71,Nail,Basic Manicure,4.00,30,4.1
72,Nail,Basic Pedicure,5.00,40,4.3
73,Nail,Nail Art (Per Finger),1.00,15,4.0
74,Nail,Gel Nail Polish,8.00,45,4.2
75,Mehndi,Basic Mehndi,5.00,30,4.1
76,Mehndi,Bridal Mehndi,50.00,180,4.5
77,Bridal Services,Pre-Bridal Package (Basic),50.00,240,4.6
78,Bridal Services,Pre-Bridal Package (Premium),100.00,360,4.8
79,Other,Saree Draping,3.00,20,4.0
80,Other,Waxing (Full Arms),2.50,20,4.1
81,Other,Waxing (Full Legs),4.00,30,4.2
